Epoch,AUC,PR_AUC,ACC,BACC,Precision,TPR,KAPPA,RECALL,F1
0,0.8159301398851238,0.8013776707233705,0.7345166163141994,0.7356278799204845,0.702621722846442,0.7540192926045016,0.46929964603707486,0.7540192926045016,0.7274137262504848
1,0.8299066287410339,0.8133912701545847,0.7507552870090635,0.7519489561290205,0.718562874251497,0.7717041800643086,0.5017834174108975,0.7717041800643086,0.7441860465116279
2,0.8367972535978966,0.8188577764317919,0.754154078549849,0.7568946326984912,0.7113328581610834,0.8022508038585209,0.5100744843391902,0.8022508038585209,0.7540612013600303
3,0.8437777686169969,0.8257644260095216,0.7654833836858006,0.7668455309130551,0.732289336316182,0.7893890675241158,0.5313303722890028,0.7893890675241158,0.7597678916827854
4,0.8500563388023193,0.830604494469949,0.7669939577039275,0.7673081503467356,0.7420849420849421,0.772508038585209,0.5333703480295386,0.772508038585209,0.7569909413154785
5,0.8548628860124039,0.836056572357049,0.775679758308157,0.7762318960068156,0.7492331288343558,0.7853697749196141,0.5509496533011757,0.7853697749196141,0.7668759811616954
6,0.8588924844953784,0.8396828416428812,0.7790785498489426,0.7815440038108848,0.7375630857966835,0.822347266881029,0.5594238050165641,0.822347266881029,0.7776510832383126
7,0.8664518463553834,0.8498369144496498,0.7900302114803626,0.790268502487152,0.7670807453416149,0.7942122186495176,0.5793693603093772,0.7942122186495176,0.7804107424960505
8,0.8678391321076209,0.8509337195787442,0.7904078549848943,0.792823215250868,0.7490961677512654,0.8327974276527331,0.5819413595980192,0.8327974276527331,0.7887323943661972
9,0.8710202132629785,0.8545073234149059,0.7851208459214502,0.7876084407434889,0.7433309300648883,0.8287781350482315,0.5714737522297864,0.8287781350482315,0.7837324211326492
10,0.8759206584769286,0.8604517981981151,0.7941842900302115,0.7969341156640193,0.7501789549033644,0.842443729903537,0.5897353674289977,0.842443729903537,0.7936387731919728
12,0.8779119832174496,0.8632398334328626,0.797583081570997,0.7980322642702063,0.7731481481481481,0.8054662379421221,0.5946481936739748,0.8054662379421221,0.7889763779527558
13,0.8837056045657332,0.869076876863393,0.80702416918429,0.8069353981733403,0.7883556254917388,0.8054662379421221,0.6131125567266872,0.8054662379421221,0.7968190854870775
15,0.8863885682615585,0.8724283668651791,0.8040030211480362,0.8059185514973296,0.7667402501839587,0.837620578778135,0.6086311693518991,0.837620578778135,0.8006146753745678
16,0.8892495946354467,0.8771340513661348,0.8126888217522659,0.814063630783888,0.780359820089955,0.8368167202572347,0.6255485307131583,0.8368167202572347,0.8076027928626842
17,0.8920968798380373,0.8794946711102702,0.8111782477341389,0.8092038365350263,0.8131313131313131,0.7765273311897106,0.6199979794454495,0.7765273311897106,0.7944078947368421
18,0.8925159855626094,0.8800490675962388,0.8149546827794562,0.8153759126427937,0.791795665634675,0.822347266881029,0.6293681044963026,0.822347266881029,0.806782334384858
25,0.8940263693077197,0.8811541928287827,0.8191087613293051,0.8183772134736764,0.8082191780821918,0.8062700964630225,0.6368419364887399,0.8062700964630225,0.8072434607645874
29,0.8962985292366321,0.8839274610283234,0.8157099697885196,0.8133399290955561,0.823076923076923,0.7741157556270096,0.6288112068093867,0.7741157556270096,0.7978458989229493
34,0.897412422934931,0.8849725091901531,0.8255287009063444,0.8250725991883547,0.8123003194888179,0.817524115755627,0.6499070521332222,0.817524115755627,0.8149038461538461
37,0.9001698179752842,0.8886641194212809,0.8209969788519638,0.8202494480629529,0.8104838709677419,0.8078778135048231,0.6406162670307218,0.8078778135048231,0.8091787439613526
38,0.9013154881322084,0.890214256836067,0.8266616314199395,0.8255913284048333,0.8204081632653061,0.8078778135048231,0.6517498578842169,0.8078778135048231,0.8140947752126366
43,0.9023643975412463,0.889828510395912,0.824773413897281,0.8246809758063778,0.807570977917981,0.8231511254019293,0.6486488959654468,0.8231511254019293,0.8152866242038216
46,0.9039955890840136,0.8903839845293866,0.827416918429003,0.8296472641327947,0.787436084733382,0.8665594855305466,0.6555412347658172,0.8665594855305466,0.8251052430156908
55,0.9057991178168028,0.894480926207412,0.8281722054380665,0.8282983391504292,0.8089271730618638,0.8303858520900321,0.6556057113586887,0.8303858520900321,0.8195160650535502
59,0.9062096353093139,0.8938814928485248,0.8228851963746223,0.82546536766794,0.779783393501805,0.8681672025723473,0.6467537727777475,0.8681672025723473,0.8216051730696082
73,0.9082710972783321,0.8947784351905881,0.8240181268882175,0.8269001749709146,0.7782546494992847,0.8745980707395499,0.6492208749124451,0.8745980707395499,0.8236184708554126
81,0.9111902373558323,0.8989897218611567,0.8327039274924471,0.8346330191185496,0.7955719557195572,0.8665594855305466,0.6658805461372999,0.8665594855305466,0.8295498268564833
97,0.9141568989840694,0.9035608809523178,0.8353474320241692,0.8358433872903326,0.8126934984520123,0.8440514469453376,0.6702132521640569,0.8440514469453376,0.8280757097791799
153,0.9144148322202985,0.9090663501606192,0.8361027190332326,0.8332577568911974,0.8534031413612565,0.7861736334405145,0.669520847328174,0.7861736334405145,0.8184100418410041
162,0.9150729770705655,0.9053991182737259,0.8364803625377644,0.8352170188986909,0.8337448559670781,0.8143086816720257,0.6713257686945036,0.8143086816720257,0.8239121594143961
165,0.915116777054076,0.9075286895944201,0.8323262839879154,0.8321699141634833,0.8164556962025317,0.8295819935691319,0.6637317981713511,0.8295819935691319,0.8229665071770336
171,0.9176471564936194,0.9102172205289281,0.8361027190332326,0.835456344298788,0.8260869565217391,0.8247588424437299,0.6709741550695825,0.8247588424437299,0.825422365245374
189,0.9187012188418943,0.9098010538013637,0.8402567975830816,0.8399691739723893,0.8265712012728719,0.8352090032154341,0.6795337190778752,0.8352090032154341,0.8308676529388245
212,0.9189454109068257,0.9119952776263733,0.841012084592145,0.8411394637278882,0.8227450980392157,0.8432475884244373,0.6813115188993377,0.8432475884244373,0.832870186581977
213,0.9200467085314353,0.9123268343580145,0.8466767371601208,0.8467103635913925,0.8299212598425196,0.8472668810289389,0.6925959136616922,0.8472668810289389,0.8385043754972155
250,0.9217285706433617,0.9134728158957729,0.849320241691843,0.8484703786150731,0.843216896831844,0.8344051446945338,0.6973559983867419,0.8344051446945338,0.8387878787878786
